patient_id	tumor_id	sbs.tmb	sbs.tmb.filtered
CGPLPA217	CGPLPA217T	15589	13432
CGPLPA218	CGPLPA218T_rep	194	96
CGPLPA219	CGPLPA219T	2900	1984
CGPLPA220	CGPLPA220T	4171	3288
CGPLPA221	CGPLPA221T	4798	4038
CGPLPA222	CGPLPA222T	99	9
CGPLPA223	CGPLPA223T	60061	44737
CGPLPA224	CGPLPA224T	16434	13403
CGPLPA226	CGPLPA226T	55	11
CGPLPA765	CGPLPA765T1	4494	1785
CGPLPA766	CGPLPA766T1	5133	654
CGPLPA767	CGPLPA767T2	1367	423
CGPLPA768	CGPLPA768T1	2067	856
CGPLPA769	CGPLPA769T1	10597	2972
CGPLPA771	CGPLPA771T3	454	51
CGPLPA772	CGPLPA772T2	4411	1763
CGPLPA773	CGPLPA773T3	518	15
CGPLPA774	CGPLPA774T1	6351	3446
CGPLPA775	CGPLPA775T3	11376	5757
CGPLPA777	CGPLPA777T3	726	42
CGPLPA779	CGPLPA779T	581	11
CGPLPA780	CGPLPA780T3	6996	1450
CGPLPA781	CGPLPA781T	4501	1416
CGPLPA785	CGPLPA785T	3486	2105
CGPLPA786	CGPLPA786T	4764	1554
CGPLPA787	CGPLPA787T	18331	13335
CGPLPA788	CGPLPA788T1	5187	1124
CGPLPA789	CGPLPA789T3	5343	2806
CGPLPA790	CGPLPA790T	15640	5730
CGPLPA791	CGPLPA791T1	318	17
CGPLPA792	CGPLPA792T1	625	47
CGPLPA794	CGPLPA794T	8185	5648
CGPLPA796	CGPLPA796T1	478	17
CGPLPA797	CGPLPA797T1	1623	524
